hsp,erm,rrl,rrs,arr,argH,cya,gnd,murC,pta,purH,rpoB,gyrA,gyrB,recA,ST
1,1,1,1,1,3,1,4,3,1,2,1,1,1,1,1
3,4,2,1,2,8,6,10,10,13,10,5,4,2,3,2
2,X,3,1,3,10,14,9,9,14,9,6,2,3,2,3
1,5,1,3,4,1,2,1,2,4,4,1,3,4,,4
1,6,4,1,5,7,2,8,2,7,8,1,5,5,,5
2,3,5,1,6,10,14,9,9,12,9,1,6,3,,6
2,3,3,1,6,10,14,9,9,14,9,1,6,3,,7
3,7,6,1,7,8,7,11,11,15,10,5,7,6,,8
2,3,9,2,20,10,14,18,16,23,13,11,24,22,,9
1,1,1,1,8,4,5,1,2,10,10,1,24,21,,10
1,8,7,1,5,1,1,3,2,16,2,1,9,8,1,11
5,9,6,1,9,8,6,12,11,17,10,5,10,9,,12
2,3,8,1,10,10,8,18,12,23,13,8,11,10,,13
4,X,9,2,11,9,9,13,13,18,13,7,12,11,9,14
1,1,10,1,6,3,4,1,2,16,2,1,13,12,,15
1,1,11,1,1,3,1,4,3,1,2,1,1,1,,16
1,8,24,1,4,1,2,1,2,4,4,1,3,4,,17
1,1,25,7,1,3,1,4,3,1,2,1,1,1,,18
1,14,1,1,6,1,1,3,2,19,11,1,24,22,,19
6,8,1,1,12,1,1,4,2,4,4,1,1,1,,20
1,1,12,1,1,3,1,4,3,1,2,1,1,1,,21
2,3,13,4,13,10,10,14,9,18,12,9,14,13,,22
1,8,25,3,4,1,2,1,2,4,4,1,3,4,,23
1,5,1,1,4,1,2,1,2,4,4,1,3,4,,24
1,14,1,1,6,1,4,3,2,20,1,1,15,14,,25
2,3,24,5,4,10,8,9,12,14,7,10,11,15,,26
2,3,14,2,20,10,14,18,16,23,13,11,24,22,,27
7,8,1,1,6,11,2,1,2,1,14,1,16,16,,28
1,1,24,7,8,4,5,1,2,10,10,1,8,7,,29
1,1,1,1,8,4,13,1,2,16,2,1,8,19,,30
1,10,24,1,6,1,1,3,2,2,15,1,15,14,,31
1,14,1,1,6,1,2,3,2,2,7,1,15,17,,32
8,11,25,1,15,8,11,12,14,21,16,5,17,18,,33
1,1,1,1,8,4,1,1,2,10,2,1,8,7,12,34
1,12,1,1,14,12,2,15,2,9,2,1,18,19,,35
1,1,15,3,1,3,1,4,3,1,2,1,1,1,,36
1,14,1,1,6,1,4,3,2,20,4,1,15,14,,37
3,13,20,1,16,8,12,16,15,17,9,5,19,9,,38
1,12,24,1,14,12,2,15,2,7,2,1,18,19,,39
1,8,16,1,4,1,2,1,2,4,4,1,3,4,,40
1,14,24,1,8,1,4,3,2,22,4,1,15,14,,41
1,8,1,1,4,1,2,1,2,4,4,1,3,4,,42
1,14,1,1,6,1,4,3,2,2,4,1,15,14,,43
1,1,17,1,1,3,1,4,3,1,2,1,1,1,,44
1,8,24,3,4,1,2,1,2,4,4,1,3,4,,45
1,14,1,1,1,1,4,3,2,1,4,1,15,14,,46
2,3,13,7,13,10,10,14,9,18,12,9,14,13,,47
3,11,21,1,17,8,12,17,11,10,17,5,20,20,,48
1,1,1,1,8,4,5,1,2,10,2,1,8,7,,49
1,14,24,3,18,1,13,3,2,2,4,1,15,14,,50
2,3,18,7,13,10,10,14,9,18,12,9,14,13,,51
1,1,24,1,1,3,1,4,3,1,2,1,1,1,,52
1,1,X,7,1,3,1,4,3,1,2,1,1,1,,53
2,3,9,2,20,10,14,18,3,23,13,11,24,22,,54
1,1,1,1,1,3,1,4,3,1,2,1,15,1,,55
2,X,22,6,20,10,14,18,16,23,13,11,24,22,4,56
1,8,1,1,4,1,2,1,2,4,4,1,21,4,7,57
1,8,23,1,4,1,2,1,2,4,4,1,3,4,7,58
5,14,1,1,19,1,2,3,2,2,15,1,22,21,1,59
6,8,24,1,12,1,1,4,2,4,4,1,1,1,1,60
8,11,25,1,17,8,6,19,11,17,10,5,23,18,8,61
1,1,1,1,8,4,5,1,2,10,10,1,8,7,,62
1,8,1,1,4,1,2,1,2,4,4,1,3,4,7,63
